ticker,baslangic,bitis,source,referans
SEGMN,2025-01-09,2025-04-08,kap_tedbir,1422707
ALKLC,2024-12-20,2025-03-19,kap_tedbir,1409029
NTHOL,2024-12-10,2025-03-09,kap_tedbir,1403794
AZTEK,2026-02-06,2026-05-06,spk_api,29/871
AVOD,2026-02-06,2026-05-06,spk_api,B-29
KAYSE,2026-02-06,2026-05-06,spk_api,29/872
A1CAP,2026-02-06,2026-05-06,spk_api,29/872
SNICA,2026-02-06,2026-05-06,spk_api,29/872
OBASE,2026-02-06,2026-05-06,spk_api,29/872
TERA,2026-02-06,2026-05-06,spk_api,29/872
AHGAZ,2026-02-06,2026-05-06,spk_api,29/872
BVSAN,2026-02-06,2026-05-06,spk_api,29/872
SOKE,2026-02-06,2026-05-06,spk_api,29/872
EYGYO,2026-02-06,2026-05-06,spk_api,29/872
CEMZY,2026-01-29,2026-04-28,spk_api,B-28
IDGYO,2026-01-10,2026-04-09,spk_api,23/721
OZSUB,2025-12-18,2026-03-17,spk_api,17/572
YKGYO,2025-12-10,2026-03-09,spk_api,14/494
NUGYO,2025-11-08,2026-02-05,spk_api,B-7
NUGYO,2025-11-07,2026-02-04,spk_api,6/231
PEHOL,2025-10-25,2026-01-22,spk_api,4/141
CEOEM,2025-10-25,2026-01-22,spk_api,4/163
KOZAL,2025-10-16,2026-01-13,spk_api,B-2
AKENR,2025-09-26,2025-12-24,spk_api,67/2424
GLBMD,2025-09-26,2025-12-24,spk_api,67/2424
NUGYO,2025-09-26,2025-12-24,spk_api,67/2424
RAYSG,2025-09-26,2025-12-24,spk_api,67/2424
KIMMR,2025-09-24,2025-12-22,spk_api,66/2367
USAK,2025-07-18,2025-10-15,spk_api,B-55
AVHOL,2025-07-18,2025-10-15,spk_api,B-55
KONYA,2025-05-09,2025-08-06,spk_api,B-43
BJKAS,2025-03-01,2025-05-29,spk_api,B-32
MARKA,2025-01-25,2025-04-24,spk_api,B-27
NTHOL,2024-06-12,2024-09-09,spk_api,B-46
ENSRI,2024-05-18,2024-08-15,spk_api,B-40
MTRKS,2024-04-26,2024-07-24,spk_api,B-35
